ID,Name,Article / Other Name,Description,AI Life Cycle Stage,High Level Principle,Associated Principles,Task,Level of Development,Sector,Tool Type,Programming Language,DOI / URL,Year,Authors / Owners,Other Links
68,Glass-Box: Voice-enabled Virtual Assistant,Glass-Box: Explaining AI Decisions With Counterfactual Statements Through Conversation With a Voice-enabled Virtual Assistant,,Deployment and monitoring; Performance evaluation,Justice; Explicability,Fairness; Explicability; Interpretability,Natural Language Processing,2,Academic,Article; Voice Assistant,Python,https://doi.org/10.24963/ijcai.2018/865,2018,"Kacper Sokol, Peter Flach",
69,Ethics and Privacy in AI and Big Data: Implementing Responsible Research and Innovation,Ethics and Privacy in AI and Big Data: Implementing Responsible Research and Innovation,,Businness and problem understanding,Beneficence; Governance,Social Good; Reliability; Well-being; Sustainability,Does not apply,4,Academic,Article; Tool Compendium,Does not apply,https://doi.org/10.1109/MSP.2018.2701164,2018,"Bernd Carsten Stahl, David Wright","https://rri-tools.eu/

https://rri-tools.eu/how-tos

https://rri-tools.eu/search-engine

https://sci-hub.se/10.1109/MSP.2018.2701164"
70,Development of privacy design patterns based on privacy principles and UML,Development of privacy design patterns based on privacy principles and UML,,Planning and design,Non-Maleficence,Privacy,Does not apply,3,Academic,Article; Code,UML; Java,https://doi.org/10.1109/SNPD.2017.8022748,2017,"Theeraporn Suphakul, Twittie Senivongse",https://sci-hub.ru/10.1109/SNPD.2017.8022748
71,TensorFlow Privacy,,,"Collection, understanding and preparation of data",Non-Maleficence,Privacy; Reliability,Regression; Multi-class Classification,"4,2",Private; Academic,Code; Examples,Python,https://github.com/tensorflow/privacy,2018,"Google, TensorFlow Community","https://github.com/tensorflow/privacy/blob/master/tutorials/walkthrough/README.md

https://github.com/tensorflow/privacy/tree/master/tutorials"
72,The Turing Way,,,Planning and design; Performance evaluation,Non-Maleficence; Explicability,Reproducibility; Explicability; Interpretability,Does not apply,"4,4",Public,Guide; Website; Book,Does not apply,https://github.com/alan-turing-institute/the-turing-way/,2020,"The Turing Way Community, The Alan Turing Institute","https://the-turing-way.netlify.app/index.html

https://www.turing.ac.uk/research/research-projects/turing-way"
73,An Ethical Framework for Evaluating Experimental Technology,An Ethical Framework for Evaluating Experimental Technology,,Businness and problem understanding; Businness and problem understanding; Businness and problem understanding; Businness and problem understanding,Beneficence; Non-Maleficence; Autonomy; Justice; Governance,Responsibility; Accountability; Agency; Fairness; Social Good; Privacy,Does not apply,Does not apply,Academic,Article,Does not apply,https://doi.org/10.1007/s11948-015-9724-3,2015,Ibo van de Poel,
74,A Right to Reasonable Inferences: Re-Thinking Data Protection Law in the Age of Big Data and AI,A Right to Reasonable Inferences: Re-Thinking Data Protection Law in the Age of Big Data and AI,,Deployment and monitoring; Deployment and monitoring,Autonomy; Explicability; Governance,Agency; Explicability; Interpretability,Does not apply,Does not apply,Academic,Article,Does not apply,https://doi.org/10.7916/cblr.v2019i2.3424,2019,"Sandra Wachter, Brent Mittelstadt",
75,Counterfactual Explanations without Opening the Black Box: Automated Decisions and the GDPR,Counterfactual Explanations without Opening the Black Box: Automated Decisions and the GDPR,,Performance evaluation; Performance evaluation,Justice; Explicability,Fairness; Explicability; Interpretability,Does not apply,Does not apply,Academic,Article,Does not apply,https://doi.org/10.48550/arXiv.1711.00399,2017,"Sandra Wachter, Brent Mittelstadt, Chris Russell",
76,Wellcome Data Labs - Agile methodology,,,Businness and problem understanding,Beneficence,Social Good; Responsibility; Well-being,Does not apply,Does not apply,NGO,Website; Resource Compendium; Theoretical Framework,Does not apply,https://wellcome.org/news/new-method-ethical-data-science,2019,"Danil Mikhailov, Wellcome Data Labs Team","https://medium.com/wellcome-data/a-new-method-for-ethical-data-science-edb59e400ae9

https://medium.com/wellcome-data

https://medium.com/@katchja/agile-ethics-in-ai-why-we-need-a-new-design-process-for-benevolent-ai-3134b2932406"
77,What-If Tool,The What-If Tool: Interactive Probing of Machine Learning Models,,Performance evaluation; Performance evaluation,Justice; Explicability,Fairness; Explicability; Auditability,Regression; Binary Classification; Multi-class Classification; Multi-class Classification,"4,6",Private; Academic,Article; Code,Python,https://doi.org/10.1109/TVCG.2019.2934619,2019,"James Wexler, Mahima Pushkarna, Tolga Bolukbasi, Martin Wattenberg, Fernanda Viegas, Jimbo Wilson, What-If Tool Community","https://github.com/pair-code/what-if-tool

https://pair-code.github.io/what-if-tool/"
78,Auditing Algorithms @Northeastern,,,Deployment and monitoring,Non-Maleficence,Reproducibility; Auditability,Does not apply,4,Academic,Website; Resource Compendium,Does not apply,https://personalization.ccs.neu.edu/,2017,"Algorithm Auditing Research Group, Christo Wilson",https://www.khoury.northeastern.edu/people/christo-wilson/
79,Fairness Constraints: Mechanisms for Fair Classification,Fairness Constraints: Mechanisms for Fair Classification,,Model setup and training,Justice,Fairness,Binary Classification,"3,8",Academic,Code; Article,Python,https://doi.org/10.48550/arXiv.1507.05259,2015,"Muhammad Bilal Zafar, Isabel Valera, Manuel Gomez Rodriguez, Krishna P. Gummadi","https://github.com/mbilalzafar/fair-classification/tree/master/disparate_impact

https://github.com/mbilalzafar/fair-classification

https://fate-computing.mpi-sws.org/"
80,Visual Interpretability for Deep Learning: a Survey,Visual Interpretability for Deep Learning: a Survey,,Performance evaluation,Explicability,Explicability; Interpretability,Does not apply,Does not apply,Academic,Article; Resource Compendium,Does not apply,https://doi.org/10.48550/arXiv.1802.00614,2018,"Quanshi Zhang, Song-Chun Zhu",
81,Improving Social Responsibility of Artificial Intelligence by Using ISO 26000,Improving Social Responsibility of Artificial Intelligence by Using ISO 26000,,Businness and problem understanding,Beneficence; Governance,Responsibility; Social Good,Does not apply,Does not apply,Academic,Article; Guide; Standard,Does not apply,https://doi.org/10.1088/1757-899X/428/1/012049,2018,Wei-Wei Zhao,https://www.iso.org/iso-26000-social-responsibility.html
82,Ten simple rules for responsible big data research,Ten simple rules for responsible big data research,,Businness and problem understanding,Non-Maleficence,Responsibility; Reliability; Prevention,Does not apply,Does not apply,Academic,Article; Guidelines,Does not apply,https://doi.org/10.1371/journal.pcbi.1005399,2017,"Matthew Zook, Solon Barocas, danah boyd, Kate Crawford, Emily Keller, Seeta Peña Gangadharan, Alyssa Goodman, Rachelle Hollander, Barbara A. Koenig, Jacob Metcalf, Arvind Narayanan, Alondra Nelson, Frank Pasquale",
83,SCRT Labs (Enigma),Enigma: Decentralized Computation Platform with Guaranteed Privacy,,"Collection, understanding and preparation of data",Non-Maleficence,Privacy,Does not apply,"4,6",Private; Academic,Article; Website,Does not apply,https://doi.org/10.48550/arXiv.1506.03471,2015,"Guy Zyskind, Oz Nathan, Alex Pentland, SCRT Labs Team","https://www.scrtlabs.com/

https://scrt.network/blog/introducing-scrt-labs-an-evolution-of-enigma/

https://medium.com/paradigm-research/enigma-detailed-review-on-the-project-dc713a17f5d2

https://scrt.network/"
84,"Risks, Harms and Benefits Assessment",,,Businness and problem understanding; Planning and design; Deployment and monitoring,Justice; Justice; Justice,Auditability; Prevention; Safety,Does not apply,4,NGO,Guide; Checklist,Does not apply,https://www.unglobalpulse.org/policy/risk-assessment/,2017,UN Global Pulse,
85,"AI and Big Data: A blueprint for a human rights, social and ethical impact assessment","AI and Big Data: A blueprint for a human rights, social and ethical impact assessment",,Businness and problem understanding; Planning and design,Justice; Beneficence,Auditability; Human Rights,Does not apply,Does not apply,Academic,Article,Does not apply,https://doi.org/10.1016/j.clsr.2018.05.017,2018,Alessandro Mantelero,
86,"Ethical Data and Information Management: Concepts, Tools and Methods","Ethical Data and Information Management: Concepts, Tools and Methods",,"Collection, understanding and preparation of data",Non-Maleficence; Governance,Privacy; Quality Data; Reliability,Does not apply,Does not apply,Academic; Private,Book; Guide,Does not apply,https://dl.acm.org/doi/book/10.5555/3265200,2018,"Katherine O'Keefe, Daragh O. Brien",https://sci-hub.ru/978-0-7494-8204-6
87,AI Procurement in a Box,,,Businness and problem understanding; Deployment and monitoring,Non-Maleficence; Justice,Privacy; Reliability; Responsibility; Auditability,Does not apply,"4,2",NGO,Guide; Study Cases; Tool Compendium; Guidelines,Does not apply,https://www.weforum.org/reports/ai-procurement-in-a-box/,2019,World Economic Forum (WEF),
88,Algorithmic Impact Assessments Tool,,,Businness and problem understanding; Planning and design; Deployment and monitoring,Beneficence; Beneficence; Justice,Auditability; Trade-offs; Social Good; Well-being,Does not apply,"4,4",Public,Website; Practical Framework,Does not apply,https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/responsible-use-ai/algorithmic-impact-assessment.html,2019,"Noel Corriveau, Ashley Casovan, Benoit Deshaies, Government of Canada",https://open.canada.ca/data/en/dataset/5423054a-093c-4239-85be-fa0b36ae0b2e
89,Code of Ethics for Data-Based Value Creation,,,"Businness and problem understanding; Planning and design; Collection, understanding and preparation of data; Model setup and training; Performance evaluation; Deployment and monitoring",Non-Maleficence; Non-Maleficence; Autonomy; Justice; Justice; Autonomy; Governance,Transparency; Fairness; Accountability; Agency; Reliability; Privacy; Responsibility; Quality Data,Does not apply,Does not apply,NGO,Code of Ethics,Does not apply,https://digitalcollection.zhaw.ch/bitstream/11475/24226/3/2020_Christen-etal_Ethical-Codex_Basics.pdf,2019,"Markus Christen, Christoph Heitz, Tom Kleiber, Michele Lois, Swiss Alliance for Data-Intensive Services",https://data-innovation.org/data-ethics/
90,IBM Watson Studio,,,Model setup and training; Performance evaluation; Deployment and monitoring,Non-Maleficence; Justice; Non-Maleficence,Reliability; Fairness; Auditability; Trade-offs,Regression; Binary Classification; Multi-class Classification; Natural Language Processing; Computer Vision,"4,8",Private,Code; Website; Tool Compendium,Python; R; Scala,https://www.ibm.com/cloud/watson-studio,2019,IBM,"https://developer.ibm.com/components/watson-studio/

https://www.ibm.com/cloud/watson-studio/model-risk-management"
91,The Ethics Certification Program for Autonomous and Intelligent Systems (ECPAIS),,,Planning and design; Planning and design,Non-Maleficence; Justice; Governance,Transparency; Reliability; Fairness; Social Good; Well-being,Does not apply,Does not apply,Private,Certification; Course,Does not apply,https://standards.ieee.org/industry-connections/ecpais/,2019,Institute of Electrical and Electronics Engineers (IEEE),
92,Judgment Call,Judgment Call the Game: Using Value Sensitive Design and Design Fiction to Surface Ethical Concerns Related to Technology,,"Planning and design; Collection, understanding and preparation of data",Beneficence; Justice,Inclusion; Well-being; Social Good; Trade-offs,Does not apply,4,Academic,Article; Practical Framework,Does not apply,https://doi.org/10.1145/3322276.3323697,2019,"Stephanie Ballard, Karen M. Chappell, Kristen Kennedy","https://learn.microsoft.com/en-us/azure/architecture/guide/responsible-innovation/judgmentcall

http://houseofmethods.com/pdf/microsoft-judgment-call.pdf"
93,Model Ethical Data Impact Assessment,Ethical Data Impact Assessments and Oversight Models,,Businness and problem understanding; Deployment and monitoring,Non-Maleficence; Justice,Auditability; Privacy,Does not apply,"3,8",NGO,Guide; Practical Framework,Does not apply,https://secureservercdn.net/192.169.221.188/b1f.827.myftpupload.com/wp-content/uploads/2020/04/Model-Ethical-Data-Impact-Assessment-January-2019-002.pdf,2019,The Information Accountability Foundation,https://www.pcpd.org.hk/misc/files/Ethical_Accountability_Framework_Detailed_Support.pdf
94,"Model AI Governance Framework, Second Edition",,,Businness and problem understanding; Planning and design; Deployment and monitoring,Beneficence; Non-Maleficence; Autonomy; Governance,Human Rights; Social Good; Inclusion; Well-being; Auditability; Reliability; Agency,Does not apply,"4,2",Public,Practical Framework; Guide,Does not apply,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/resource-for-organisation/ai/sgmodelaigovframework2.pdf,2019,The Personal Data Protection Commission (PDPC) of Singapore,"https://www.pdpc.gov.sg/Help-and-Resources/2020/01/Model-AI-Governance-Framework

https://oecd.ai/en/wonk/singapores-model-framework-to-balance-innovation-and-trust-in-ai"
95,AI Blindspot,"AI Blindspot: A Discovery Process for preventing, detecting, and mitigating bias in AI systems",,Businness and problem understanding; Planning and design,Non-Maleficence; Justice,Trade-offs; Responsibility; Prevention; Fairness,Does not apply,4,Academic,Practical Framework; Website; Guide,Does not apply,https://aiblindspot.media.mit.edu/,2020,"Ania Calderon, Dan Taber, Hong Qu, Jeff Wen","https://aiblindspot.media.mit.edu/AL.html

https://medium.com/berkman-klein-center/ai-blindspot-be458ef0ab89

https://aiblindspot.media.mit.edu/images/AI_Cards_2021.pdf"
96,Algorithm Register,,,Deployment and monitoring,Non-Maleficence,Reproducibility; Auditability; Accountability; Transparency,Does not apply,4,Public,Website; Resource Compendium,Does not apply,https://algoritmeregister.amsterdam.nl/,2020,City of Amsterdam,https://algoritmeregister.amsterdam.nl/en/ai-register/
97,Closing the AI accountability gap: defining an end-to-end framework for internal algorithmic auditing,Closing the AI accountability gap: defining an end-to-end framework for internal algorithmic auditing,,"Businness and problem understanding; Planning and design; Collection, understanding and preparation of data; Model setup and training; Performance evaluation; Deployment and monitoring",Non-Maleficence; Non-Maleficence; Justice; Justice; Justice; Non-Maleficence; Governance,Accountability; Auditability; Social Good,Does not apply,Does not apply,Academic,Article; Practical Framework,Does not apply,https://doi.org/10.1145/3351095.3372873,2020,"Inioluwa Deborah Raji, Andrew Smart, Rebecca N. White, Margaret Mitchell, Timnit Gebru, Ben Hutchinson, Jamila Smith-Loud, Daniel Theron, Parker Barnes",https://drive.google.com/drive/folders/1NUSTvWObrDSkjmWTrDCxKoPkXmypguiv
98,Co-Designing Checklists to Understand Organizational Challenges and Opportunities around Fairness in AI,Co-Designing Checklists to Understand Organizational Challenges and Opportunities around Fairness in AI,,Businness and problem understanding; Planning and design; Model setup and training; Performance evaluation; Deployment and monitoring,Non-Maleficence; Justice; Justice; Justice; Non-Maleficence,Reliability; Fairness,Does not apply,"3,8",Academic; Private,Article; Checklist,Does not apply,https://doi.org/10.1145/3313831.3376445,2020,"Michael A. Madaio, Luke Stark, Jennifer Wortman Vaughan, Hanna Wallach","https://www.microsoft.com/en-us/research/project/ai-fairness-checklist/

https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RE4t6dA"
99,Corporate Digital Responsibility (CDR),Corporate digital responsibility,,Businness and problem understanding; Planning and design; Deployment and monitoring,Non-Maleficence; Non-Maleficence; Non-Maleficence,Responsibility; Accountability; Reliability,Does not apply,Does not apply,Academic,Article; Theoretical Framework,Does not apply,https://doi.org/10.1016/j.jbusres.2019.10.006,2020,"Lara Lobschat, Benjamin Mueller, Felix Eggers, Laura Brandimarte, Sarah Diefenbach, Mirja Kroschke, Jochen Wirtz",https://corporatedigitalresponsibility.net/
100,Data Ethics Framework (UK),,,Businness and problem understanding; Planning and design,Non-Maleficence; Justice,Privacy; Responsibility; Transparency; Accountability; Fairness,Does not apply,"4,4",Public,Guide; Code of Practice,Does not apply,https://www.gov.uk/government/publications/data-ethics-framework,2020,Central Digital & Data Office (UK),https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/923108/Data_Ethics_Framework_2020.pdf
101,Empowering AI Leadership,,,Businness and problem understanding; Planning and design; Planning and design,Beneficence; Non-Maleficence; Justice; Governance,Sustainability; Social Good; Inclusion; Diversity; Privacy; Security; Reliability; Fairness; Auditability,Does not apply,"4,4",NGO,Website; Guide; Practical Framework; Resource Compendium,Does not apply,https://express.adobe.com/page/RsXNkZANwMLEf/,2020,World Economic Forum,"https://www.weforum.org/reports/empowering-ai-leadership-ai-c-suite-toolkit

https://www3.weforum.org/docs/WEF_C4IR_Case_Study_Empowering_AI_leadership_2020.pdf"
102,7000-2021 - IEEE Standard Model Process for Addressing Ethical Concerns during System Design,7000-2021 - IEEE Standard Model Process for Addressing Ethical Concerns during System Design,,Businness and problem understanding; Planning and design; Planning and design,Beneficence; Non-Maleficence; Justice; Governance,Sustainability; Responsibility; Privacy; Transparency; Fairness; Social Good,Does not apply,4,Private,Standard,Does not apply,https://doi.org/10.1109/IEEESTD.2021.9536679,2020,Institute of Electrical and Electronics Engineers (IEEE),"https://standards.ieee.org/ieee/7000/6781/

https://engagestandards.ieee.org/ieee-7000-2021-for-systems-design-ethical-concerns.html"
103,Standard Clauses For Procurement Of Trustworthy Algorithmic Systems,,,Businness and problem understanding; Businness and problem understanding,Non-Maleficence; Explicability,Transparency; Explicability; Security; Responsibility,Does not apply,Does not apply,Public,Contractual Terms,Does not apply,https://www.amsterdam.nl/innovation/digitalisation-technology/algorithms-ai/contractual-terms-for-algorithms/,2020,City of Amsterdam,
104,Toward situated interventions for algorithmic equity: lessons from the field,Toward situated interventions for algorithmic equity: lessons from the field,,Businness and problem understanding; Planning and design; Deployment and monitoring,Non-Maleficence; Non-Maleficence; Justice,Accountability; Fairness,Does not apply,Does not apply,Academic,Article; Case Studies,Does not apply,https://doi.org/10.1145/3351095.3372874,2020,"Michael Katell, Meg Young, Dharma Dailey, Bernease Herman, Vivian Guetler, Aaron Tam, Corinne Bintz, Daniella Raz, P. M. Krafft","https://www.aclu-wa.org/AEKit

https://designjustice.org/principles-overview"
105,Value-based Engineering for Ethics by Design,Value-based Engineering for Ethics by Design,,Businness and problem understanding; Planning and design,Beneficence; Beneficence,Social Good; Responsibility,Does not apply,Does not apply,Private,Article; Case Studies,Does not apply,https://doi.org/10.48550/arXiv.2004.13676,2020,"Sarah Spiekermann, Till Winkler",https://standards.ieee.org/ieee/7000/6781/
106,AI Incident Database,,,"Planning and design; Collection, understanding and preparation of data; Deployment and monitoring",Non-Maleficence; Non-Maleficence; Non-Maleficence,Accountability; Prevention,Does not apply,"4,2",NGO,Website; Resource Compendium,Does not apply,https://incidentdatabase.ai/,2020,The Partnership on AI,
107,White Paper on Data Ethics in Public Procurement of AI-based Services and Solutions,,,Businness and problem understanding,Beneficence,Social Good; Human Rights; Responsibility,Does not apply,4,NGO,White Paper; Guide,Does not apply,https://www.dataethics.eu/wp-content/uploads/dataethics-whitepaper-april-2020.pdf,2020,"Gry Hasselbalch, Birgitte Kofod Olsen, Pernille Tranberg","https://ec.europa.eu/futurium/en/european-ai-alliance/white-paper-data-ethics-public-procurement-ai-based-services-and-solutions.html

https://dataethics.eu/publicprocurement/"
108,Responsible AI,,,"Planning and design; Collection, understanding and preparation of data; Model setup and training; Performance evaluation; Deployment and monitoring",Non-Maleficence; Justice; Justice; Explicability; Non-Maleficence,Security; Reliability; Fairness; Explicability; Interpretability; Transparency; Privacy,Regression; Binary Classification; Multi-class Classification; Natural Language Processing; Computer Vision,"4,4",Private,Website; Principles; Tool Compendium; Resource Compendium,Does not apply,https://www.tensorflow.org/responsible_ai,2020,"TensorFlow, Google",https://ai.google/responsibility/principles/
109,Responsible AI Resources,,,"Businness and problem understanding; Planning and design; Collection, understanding and preparation of data; Model setup and training; Performance evaluation; Deployment and monitoring",Beneficence; Autonomy; Non-Maleficence; Justice; Explicability; Autonomy,Social Good; Well-being; Security; Privacy; Reliability; Fairness; Transparency; Explicability; Interpretability; Inclusion; Diversity; Auditability; Literacy,Regression; Binary Classification; Multi-class Classification; Natural Language Processing; Computer Vision,"4,6",Private,Website; Tool Compendium; Resource Compendium; Principles,Does not apply,https://www.microsoft.com/en-us/ai/responsible-ai-resources,2020,Microsoft,https://www.microsoft.com/en-us/ai/our-approach
110,Trustworthy AI - AI Ethics,,,"Planning and design; Collection, understanding and preparation of data; Model setup and training; Performance evaluation; Deployment and monitoring",Non-Maleficence; Justice; Justice; Explicability; Non-Maleficence,Security; Reliability; Fairness; Explicability; Interpretability; Transparency; Privacy; Auditability,Regression; Binary Classification; Multi-class Classification; Natural Language Processing; Computer Vision,"4,6",Private,Website; Resource Compendium; Tool Compendium; Principles,Does not apply,https://research.ibm.com/topics/trustworthy-ai,2020,IBM,"https://www.ibm.com/artificial-intelligence/ethics

https://www.ibm.com/products/cloud-pak-for-data/ai-governance

https://www.ibm.com/products/cloud-pak-for-data/data-integration

https://www.ibm.com/products/cloud-pak-for-data/governance

https://www.ibm.com/products/watsonx-governance

https://www.ibm.com/products/openpages"
111,"Artificial Intelligence Ethics and Safety: practical tools for creating ""good"" models","Artificial Intelligence Ethics and Safety: practical tools for creating ""good"" models",,Businness and problem understanding; Planning and design; Deployment and monitoring,Non-Maleficence; Justice; Explicability,Accountability; Transparency; Security; Explicability; Auditability; Social Good; Fairness,Does not apply,Does not apply,NGO,Guide; Article; Tool Compendium,Does not apply,https://deepai.org/publication/artificial-intelligence-ethics-and-safety-practical-tools-for-creating-good-models,2021,Nicholas Kluge Corrêa,"https://arxiv.org/abs/2112.11208

https://github.com/joojs/fairface

https://futurescope.digicatapult.org.uk/wp-content/uploads/2023/04/DC_AI_Ethics_Framework-2021.pdf

https://www.airespucrs.org/en/post/ai-safety-watch-advanced-artificial-intelligence-r-d-2020"
112,Ethics in AI research papers and articles,,,Businness and problem understanding; Planning and design,Beneficence; Autonomy,Social Good; Agency; Well-being; Trust,Does not apply,4,Academic,Website; Resource Compendium,Does not apply,https://blog.salesforceairesearch.com/ethics-in-ai-research-papers-and-articles/,2019,Kathy Baxter,
113,A Survey on Ethical Principles of AI and Implementations,A Survey on Ethical Principles of AI and Implementations,,Businness and problem understanding; Planning and design; Deployment and monitoring,Non-Maleficence; Justice; Explicability,Accountability; Transparency; Security; Explicability; Auditability; Fairness,Does not apply,Does not apply,Academic,Article; Guide; Tool Compendium,Does not apply,https://doi.org/10.1109/SSCI47803.2020.9308437,2020,"Jianlong Zhou, Fang Chen, Adam Berry, Mike Reed, Shujia Zhang, Siobhan Savage",https://sci-hub.ru/10.1109/SSCI47803.2020.9308437
114,Amazon SageMaker Clarify,Amazon SageMaker Clarify: Machine Learning Bias Detection and Explainability in the Cloud,,"Collection, understanding and preparation of data; Model setup and training; Performance evaluation; Deployment and monitoring",Justice; Justice; Explicability; Explicability,Fairness; Transparency; Auditability; Explicability; Interpretability,Regression; Binary Classification; Multi-class Classification; Natural Language Processing; Computer Vision,"4,6",Private,Article; Code; Website,Python,https://arxiv.org/abs/2109.03285,2021,"Michaela Hardt, Xiaoguang Chen, Xiaoyi Cheng, Michele Donini, Jason Gelman, Satish Gollaprolu, John He, Pedro Larroy, Xinyu Liu, Nick McCarthy, Ashish Rathi, Scott Rees, Ankit Siva, ErhYuan Tsai, Keerthan Vasist, Pinar Yilmaz, Muhammad Bilal Zafar, Sanjiv Das, Kevin Haas, Tyler Hill, Krishnaram Kenthapadi","https://aws.amazon.com/sagemaker/clarify

https://github.com/aws/amazon-sagemaker-clarify

https://aws.amazon.com/sagemaker/data-wrangler"
115,Alibi Explain,Alibi explain: algorithms for explaining machine learning models,,Performance evaluation,Explicability,Explicability; Interpretability,Regression; Multi-class Classification; Computer Vision,"4,4",Academic,Article; Code,Python,https://dl.acm.org/doi/10.5555/3546258.3546439,2019,"Janis Klaise, Arnaud Van Looveren, Giovanni Vacanti, Alexandru Coca","https://github.com/SeldonIO/alibi

https://docs.seldon.io/projects/alibi/en/stable/overview/algorithms.html"
116,Fairlearn,A Reductions Approach to Fair Classification,,Model setup and training; Performance evaluation,Justice; Justice,Fairness,Regression; Binary Classification; Multi-class Classification,"4,4",NGO; Academic,Article; Code; Website,Python,https://doi.org/10.48550/arXiv.1803.02453,2018,"Alekh Agarwal, Alina Beygelzimer, Miroslav Dudík, John Langford, Hanna Wallach",https://fairlearn.org/
117,LIME,"""Why Should I Trust You?"": Explaining the Predictions of Any Classifier",,Performance evaluation,Explicability,Explicability; Interpretability,Binary Classification; Multi-class Classification; Natural Language Processing; Computer Vision,"4,4",Academic,Article; Code,Python,https://doi.org/10.48550/arXiv.1602.04938,2016,"Marco Tulio Ribeiro, Sameer Singh, Carlos Guestrin","https://github.com/marcotcr/lime

https://www.oreilly.com/content/introduction-to-local-interpretable-model-agnostic-explanations-lime/"
118,TransparentAI,,,"Collection, understanding and preparation of data; Collection, understanding and preparation of data; Performance evaluation; Deployment and monitoring",Non-Maleficence; Justice; Explicability; Beneficence,Quality Data; Reliability; Fairness; Explicability; Interpretability; Sustainability,Regression; Multi-class Classification; Binary Classification,"4,2",Academic,Code,Python,https://github.com/Nathanlauga/transparentai,2020,Nathan Lauga,
119,Shapash,,,Performance evaluation; Performance evaluation,Justice; Explicability,Auditability; Explicability; Interpretability,Regression; Binary Classification; Multi-class Classification,"4,6",NGO; Academic,Code; Website,Python,https://github.com/MAIF/shapash,2020,MAIF Data Scientists,https://maif.github.io/shapash/
120,FairTest,FairTest: Discovering Unwarranted Associations in Data-Driven Applications,,Performance evaluation,Justice,Fairness,Multi-class Classification; Regression,4,Academic,Article; Code,Python,https://doi.org/10.48550/arXiv.1510.02377,2016,"Florian Tramèr, Vaggelis Atlidakis, Roxana Geambasu, Daniel Hsu, Jean-Pierre Hubaux, Mathias Humbert, Ari Juels, Huang Lin",https://github.com/columbia/fairtest
121,FairML,FairML: Auditing Black-Box Predictive Models,,Performance evaluation,Justice,Fairness; Auditability,Binary Classification,"3,8",Academic,Code,Python,https://github.com/adebayoj/fairml,2016,"Julius Adebayo, Micha Gorelick",
122,DALEX,moDel Agnostic Language for Exploration and eXplanation,,Performance evaluation; Deployment and monitoring,Justice; Explicability,Fairness; Auditability; Explicability; Interpretability,Regression; Binary Classification; Multi-class Classification; Natural Language Processing; Computer Vision,"4,6",Academic,Article; Code; Website,Python; R,https://github.com/ModelOriented/DALEX,2018,"Hubert Baniecki, Wojciech Kretowicz, Piotr Piatyszek, Jakub Wisniewski, Przemyslaw Biecek","https://dalex.drwhy.ai

https://www.jmlr.org/papers/volume19/18-416/18-416.pdf

https://www.jmlr.org/papers/volume22/20-1473/20-1473.pdf"
123,Ethik,Explaining Machine Learning Models using Entropic Variable Projection,,Performance evaluation; Performance evaluation,Justice; Explicability,Fairness; Explicability; Interpretability,Binary Classification; Multi-class Classification; Computer Vision,"4,1",Academic,Code; Website; Article,Python,https://doi.org/10.48550/arXiv.1810.07924,2019,"François Bachoc, Fabrice Gamboa, Max Halford, Vincent Lefoulon, Jean-Michel Loubes, Laurent Risser","https://github.com/XAI-ANITI/ethik

https://xai-aniti.github.io/ethik/

https://gems-ai.aniti.fr/"
124,InterpretML,InterpretML: A Unified Framework for Machine Learning Interpretability,,"Collection, understanding and preparation of data; Performance evaluation",Justice; Explicability,Quality Data; Auditability; Explicability; Interpretability,Binary Classification; Multi-class Classification; Regression,"4,6",Private; Academic,Article; Code; Website,Python,https://doi.org/10.48550/arXiv.1909.09223,2019,"Harsha Nori, Samuel Jenkins, Paul Koch, Rich Caruana","https://interpret.ml

https://github.com/interpretml/interpret"
125,Responsible Tech Playbook,,,"Businness and problem understanding; Planning and design; Collection, understanding and preparation of data; Model setup and training; Performance evaluation; Deployment and monitoring",Beneficence; Non-Maleficence; Non-Maleficence; Justice; Explicability; Autonomy,Social Good; Sustainability; Fairness; Auditability; Agency; Explicability; Interpretability,Does not apply,"4,4",Public,Guide; Playbook; Tool Compendium,Does not apply,https://www.thoughtworks.com/en-us/about-us/social-change/responsible-tech-playbook,2021,Thoughtworks,https://www.thoughtworks.com/content/dam/thoughtworks/documents/e-book/tw_ebook_responsible_tech_playbook_2021.pdf
126,Fairness and Machine Learning: Limitations and Opportunities,Fairness and Machine Learning: Limitations and Opportunities,,Businness and problem understanding; Planning and design,Beneficence; Justice,Social Good; Well-being; Fairness,Does not apply,Does not apply,Academic,Book,Does not apply,https://fairmlbook.org/,2019,"Solon Barocas, Moritz Hardt, Arvind Narayanan",https://fairmlbook.org/pdf/fairmlbook.pdf
127,Practical Data Ethics,,,Businness and problem understanding; Businness and problem understanding; Performance evaluation,Beneficence; Non-Maleficence; Justice,Social Good; Privacy; Fairness; Literacy,Does not apply,"4,2",Academic,Course; Resource Compendium; Tool Compendium,Python,https://ethics.fast.ai/,2020,fast.ai,https://github.com/fastai/fastbook
